Sr. No,Image name,Detected Categories,Cleaned Image Path
1,67915.png,"['person', 'person']",/content/cleaned_images_with_text_removal/67915.png
2,52914.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'person', 'tie', 'person']",/content/cleaned_images_with_text_removal/52914.png
3,72605.png,[],/content/cleaned_images_with_text_removal/72605.png
4,29387.png,['person'],/content/cleaned_images_with_text_removal/29387.png
5,48932.png,"['tie', 'person']",/content/cleaned_images_with_text_removal/48932.png
6,94850.png,"['person', 'sheep', 'sheep', 'sheep', 'sheep', 'person', 'person']",/content/cleaned_images_with_text_removal/94850.png
7,53640.png,['person'],/content/cleaned_images_with_text_removal/53640.png
8,65087.png,[],/content/cleaned_images_with_text_removal/65087.png
9,04853.png,"['person', 'person', 'person', 'backpack']",/content/cleaned_images_with_text_removal/04853.png
10,24769.png,[],/content/cleaned_images_with_text_removal/24769.png
11,51032.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'frisbee']",/content/cleaned_images_with_text_removal/51032.png
12,47320.png,['person'],/content/cleaned_images_with_text_removal/47320.png
13,82743.png,['kite'],/content/cleaned_images_with_text_removal/82743.png
14,35249.png,[],/content/cleaned_images_with_text_removal/35249.png
15,90158.png,"['banana', 'orange', 'orange']",/content/cleaned_images_with_text_removal/90158.png
16,06893.png,[],/content/cleaned_images_with_text_removal/06893.png
17,14569.png,['person'],/content/cleaned_images_with_text_removal/14569.png
18,13875.png,"['person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/13875.png
19,94615.png,"['person', 'person']",/content/cleaned_images_with_text_removal/94615.png
20,90541.png,['person'],/content/cleaned_images_with_text_removal/90541.png
21,76938.png,[],/content/cleaned_images_with_text_removal/76938.png
22,74215.png,[],/content/cleaned_images_with_text_removal/74215.png
23,59048.png,[],/content/cleaned_images_with_text_removal/59048.png
24,94251.png,"['clock', 'clock']",/content/cleaned_images_with_text_removal/94251.png
25,63097.png,[],/content/cleaned_images_with_text_removal/63097.png
26,71905.png,[],/content/cleaned_images_with_text_removal/71905.png
27,37265.png,['dog'],/content/cleaned_images_with_text_removal/37265.png
28,84076.png,[],/content/cleaned_images_with_text_removal/84076.png
29,60239.png,[],/content/cleaned_images_with_text_removal/60239.png
30,61950.png,"['person', 'chair', 'person']",/content/cleaned_images_with_text_removal/61950.png
31,42615.png,['person'],/content/cleaned_images_with_text_removal/42615.png
32,38109.png,"['person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/38109.png
33,13542.png,[],/content/cleaned_images_with_text_removal/13542.png
34,57264.png,"['person', 'person']",/content/cleaned_images_with_text_removal/57264.png
35,78231.png,['person'],/content/cleaned_images_with_text_removal/78231.png
36,53740.png,['boat'],/content/cleaned_images_with_text_removal/53740.png
37,43586.png,[],/content/cleaned_images_with_text_removal/43586.png
38,02867.png,['person'],/content/cleaned_images_with_text_removal/02867.png
39,39821.png,"['person', 'person']",/content/cleaned_images_with_text_removal/39821.png
40,78960.png,['person'],/content/cleaned_images_with_text_removal/78960.png
41,79805.png,[],/content/cleaned_images_with_text_removal/79805.png
42,90362.png,"['person', 'person']",/content/cleaned_images_with_text_removal/90362.png
43,23765.png,"['person', 'person', 'tie']",/content/cleaned_images_with_text_removal/23765.png
44,70385.png,[],/content/cleaned_images_with_text_removal/70385.png
45,02367.png,"['person', 'traffic light', 'person', 'person', 'person', 'person', 'truck', 'person', 'traffic light', 'cow', 'person', 'traffic light']",/content/cleaned_images_with_text_removal/02367.png
46,05142.png,['dog'],/content/cleaned_images_with_text_removal/05142.png
47,48039.png,[],/content/cleaned_images_with_text_removal/48039.png
48,71856.png,"['car', 'car', 'dog', 'dog', 'person', 'dog', 'dog', 'person', 'dog', 'dog', 'dog', 'person', 'dog']",/content/cleaned_images_with_text_removal/71856.png
49,89541.png,[],/content/cleaned_images_with_text_removal/89541.png
50,98547.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/98547.png
51,29617.png,"['microwave', 'oven']",/content/cleaned_images_with_text_removal/29617.png
